cadeia,osm_id,nome,marca,filial,tipo_comercio,morada_completa,rua,numero_porta,codigo_postal,cidade,telefone,email,website,horario,acessibilidade_cadeira_rodas,latitude,longitude
Dia,relation/902251,Dia,Dia,,supermarket,,,,,,,,,,,39.4561185,-6.367389
Dia,relation/1836360,Maxi Dia,Dia,,supermarket,,,,,,,,,,,37.9423493,-1.1638991
Dia,relation/2140069,Maxi Dia,Dia,,supermarket,,,,,,,,,,,38.9086952,-6.3606934
Dia,relation/2792115,Maxi Dia,Maxi Dia,,supermarket,,,,,,,servicio.clientes@diagroup.com,https://www.dia.es/,Mo-Sa 09:00-21:30,,37.9739435,-1.2186287
Dia,relation/3013098,Dia,Dia,,supermarket,,,,,,,,,,,40.3421013,-3.7473596
Dia,relation/6489106,Dia,Dia,,supermarket,,,,,,,,,,,43.2457132,-5.781761
Dia,relation/6585203,Supermecado Dia,Dia,,supermarket,,,,,Gijón/Xixón,,,,Mo-Sa 09:30-20:00,yes,43.5217969,-5.6827751
Dia,relation/10991978,Maxi Dia,Maxi Dia,,supermarket,,,,,Cáceres,,,,,,39.4717477,-6.3922909
Dia,relation/14627758,Dialprix,Dialprix,,supermarket,,,,,,,,,,,37.965633,-0.7001907
Dia,relation/15096251,Dialprix,Dia,,supermarket,,,,,,,,,,,37.9623204,-0.7234325
Dia,way/23761013,Maxi Dia,Maxi Dia,,supermarket,Avinguda del Mestre Rodrigo 78,Avinguda del Mestre Rodrigo,78,46015,,,,,,,39.4888914,-0.4050496
Dia,way/24405304,Dia,Dia,,supermarket,,,,,Madrid,,,,,,40.3847865,-3.7583796
Dia,way/26344118,Dia,Dia,,supermarket,Avenida Federico Silva,Avenida Federico Silva,,49600,Benavente,,,,Mo-Sa 09:00-21:30,,41.9974839,-5.6619433
Dia,way/28519096,Dia,Dia,,supermarket,,,,,,,,,,,38.3507466,-0.770251
Dia,way/28733811,Dia,Dia,Maxi,supermarket,Mijoa 22,Mijoa,22,20830,Mutriku,,,,Mo-Sa 09:00-21:00,yes,43.3133475,-2.411252
Dia,way/33923648,Dia,Dia,,supermarket,,,,,,,,,,,38.3747948,-0.5069004
Dia,way/44130993,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,38.3937011,-0.5178967
Dia,way/48797180,Dia,Dia,,supermarket,Avenida de Valladolid 64,Avenida de Valladolid,64,42005,Soria,,,,Mo-Sa 09:00-21:00,,41.7693529,-2.4860046
Dia,way/58806058,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,40.3598834,-4.4072246
Dia,way/66848704,Dia,Dia,,supermarket,Calle Señorío de Echalaz 3,Calle Señorío de Echalaz,3,31016,,,,,,,42.8127507,-1.6146149
Dia,way/70249373,Dia,Dia,,supermarket,,,,,,,,,,,41.5113355,2.3815422
Dia,way/74587501,Maxi Dia,Maxi Dia,,supermarket,PG Sector Cuc Illes 1-2,PG Sector Cuc,Illes 1-2,17160,Anglés,,,https://www.dia.es/,Mo-Sa 09:00-21:30; Su 09:30-14:30; PH off,yes,41.9578661,2.6332283
Dia,way/80143804,Dia,Dia,,supermarket,,,,,,,,,,yes,41.5924146,2.5933504
Dia,way/82981703,Cash Dian Jerez,Dia,,supermarket,,,,,,,,,,,36.7076364,-6.1206917
Dia,way/88047078,Dia,Dia,,supermarket,Carretera Madrid a A Coruña,Carretera Madrid a A Coruña,,24750,La Bañeza,,,,Mo-Sa 09:30-21:30,,42.3047763,-5.8946419
Dia,way/89281162,Dia,Dia,,supermarket,,,,,Dos Hermanas,,,,,,37.2745843,-5.9170764
Dia,way/90908495,Dia,Dia,,supermarket,Avenida Cuerpo de Obras Publicas 9-11,Avenida Cuerpo de Obras Publicas,9-11,26250,Santo Domingo de la Calzada,,,https://www.dia.es,Mo-Sa 09:00-21:00,yes,42.4395811,-2.9493507
Dia,way/91068834,Dia,Dia,,supermarket,,,,,,,,,,,37.276854,-5.9213748
Dia,way/101093511,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,39.8802366,-4.0283291
Dia,way/103143307,Dia,Dia,,supermarket,,,,,Utrera,,,,Mo-Sa 09:15-21:15,,37.1873861,-5.7885646
Dia,way/105631847,Dia,Dia,,supermarket,,,,,,,,,,,41.855727,2.6804154
Dia,way/107943665,Dialprix,Dialprix,,supermarket,,,,,,,,,,,38.2268153,-0.7452123
Dia,way/110470508,Dia,Dia,,supermarket,,,,,,,,https://www.coviran.es,"Mo-Sa 09:30-14:00, 16:30-21:00",,43.4316656,-7.365761
Dia,way/110514260,Dia Market,Dia Market,,supermarket,,,,,,,,,Mo-Sa 09:00-21:30; Su 10:00-14:30; PH off,limited,40.5310536,-3.4802673
Dia,way/115525107,MediaMarkt,Dia,,supermarket,,,,,,,,,,,37.2585826,-6.9232677
Dia,way/115623482,Lupa,La Plaza de DIA,,supermarket,Calle de Jesús Arambarri 8,Calle de Jesús Arambarri,8,,Salamanca,+34 626 36 72 41,,,Mo-Sa 09:00-21:30,,40.9699246,-5.6430116
Dia,way/117202747,Dia,Dia,,supermarket,,,,,,,,,Su 10:00-22:00; Mo-Sa 09:30-22:00,,37.2873927,-5.9052533
Dia,way/117708144,Dia,Dia,,supermarket,Pozuetakogaina 17,Pozuetakogaina,17,20305,Irun,,,,,,43.3340034,-1.8170087
Dia,way/118393254,Dia,Dia,,supermarket,Avenida de Nuestra Señora de la Victoria s/n,Avenida de Nuestra Señora de la Victoria,s/n,22700,Jaca,,,,Mo-Sa 09:00-21:30,,42.5643929,-0.5644556
Dia,way/118761460,Dia Market,Dia Market,,supermarket,,,,,,,,,Mo-Sa 09:00-21:00,,42.5806045,-1.2857502
Dia,way/122224606,Dia,Dia,,supermarket,,,,,,,,https://www.dia.es,,,37.3880197,-5.9149301
Dia,way/122927446,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,38.2703484,-3.6195074
Dia,way/124016730,Dia,Dia,,supermarket,,,,,,,,,,,37.1297992,-3.5853129
Dia,way/124671012,Dia Market,Dia Market,,supermarket,,,,,,,,,,,41.5081716,2.1135417
Dia,way/124781388,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,37.6703473,-1.6973226
Dia,way/125697699,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,41.6111418,2.3023039
Dia,way/132661284,Dia,Dia,,supermarket,Avenida Miguel de Unamuno,Avenida Miguel de Unamuno,,28806,,,,,Mo-Sa 09:00-21:30; Su 10:00-14:30,,40.4943179,-3.3648741
Dia,way/138212709,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,38.1909978,-1.8815172
Dia,way/138925884,Dia,Dia,,supermarket,,,,,,,,,,,36.5258118,-6.179975
Dia,way/139582543,Dia,Dia,,supermarket,,,,,,,,,,,36.5323392,-6.182837
Dia,way/139761003,Dia,Dia,,supermarket,,,,,,,,,,,40.4447981,-3.6124016
Dia,way/141192794,Dia,Dia,,supermarket,,,,,,,,,,,43.0004429,-4.1357895
Dia,node/143098207,Dia,Dia,,supermarket,Calle Virgen de Aránzazu 3,Calle Virgen de Aránzazu,3,28034,Madrid,,,,Mo-Su 09:00-21:30; Su 10:00-14:00,no,40.4854304,-3.6902918
Dia,way/146417126,Maxi Dia,Maxi Dia,,supermarket,Rúa Real 79,Rúa Real,79,36860,Ponteareas,,,https://www.dia.es/,,,42.1774665,-8.5009199
Dia,way/148138349,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,42.8333426,-8.5453911
Dia,way/148686229,Dia,Dia,,supermarket,,,,,,,,,,,43.5370733,-5.9061671
Dia,node/150760895,Dia,Dia,,supermarket,Calle de Juan Montalvo 21,Calle de Juan Montalvo,21,28040,Madrid,,,,,,40.4471184,-3.7119678
Dia,way/153048734,Dia,Dia,,supermarket,,,,,,,,,,,39.4891279,-6.3676139
Dia,way/157720270,Dia,Dia,,supermarket,Carrer d'Artrutx 8,Carrer d'Artrutx,8,07714,,,,,,,39.884808,4.2459236
Dia,way/162942967,Maxi Dia,Maxi Dia,,supermarket,,,,17460,,,,,,,42.0306818,2.887668
Dia,way/163019656,Dia,Dia,,supermarket,Avenida de Portugal s/n,Avenida de Portugal,s/n,37007,Salamanca,,,,Mo-Sa 09:00-21:30,,40.9719427,-5.6795652
Dia,way/164673985,Dia Market,Dia Market,,supermarket,,,,,,,,,,,40.4454847,-3.8085433
Dia,way/166561997,Dia,Dia,,supermarket,Paseo San Francisco 5,Paseo San Francisco,5,06002,Badajoz,,,,,,38.8759284,-6.9742036
Dia,node/167302600,Dia,Dia,,supermarket,Calle de las Huertas,Calle de las Huertas,,,Madrid,,,,Mo-Fr 09:00-21:30; Sa-Su 10:00-14:30,no,40.4129173,-3.6953428
Dia,way/167322278,Dialprix,Dia,,supermarket,Plaza Sierra Castilla 22,Plaza Sierra Castilla,22,03177,,,,,,,38.1404357,-0.6750101
Dia,way/169173147,Dia,Dia,,supermarket,,,,,,,,,,,43.1188415,-8.1515212
Dia,node/170951699,Dia,Dia,,supermarket,,,,,,,,,,yes,40.4051443,-3.7015311
Dia,way/172424281,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,41.9124844,3.1468714
Dia,way/174777384,Supermercados Dia,Dia,,supermarket,Calle de La Habana 22,Calle de La Habana,22,28945,,,,,,,40.289087,-3.786634
Dia,way/176947497,Maxi Dia,Maxi Dia,,supermarket,Calle del Ingeniero Fernández Casado 21,Calle del Ingeniero Fernández Casado,21,,,,,,,,40.4311517,-3.533852
Dia,way/178292267,Dia,Dia,,supermarket,,,,,,,,,,,42.1735012,2.4786602
Dia,way/179256133,Dia,Dia,,supermarket,,,,,,,,,,,37.1992503,-3.6051133
Dia,way/180440161,Dia,Dia,,supermarket,,,,,,,,,,,40.0453966,-4.2118568
Dia,way/183056238,Dia,Dia,,supermarket,,,,,,,,,,,39.1509678,-0.4314705
Dia,way/183196998,Dia,Dia,,supermarket,,,,,,,,,,,39.9769633,-4.9743252
Dia,way/183256011,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,41.5385991,2.2208246
Dia,way/183880934,Dia,Dia,,supermarket,,,,,,,,,,,37.3863858,-5.9105865
Dia,way/183880938,Dia,Dia,,supermarket,,,,,,,,,,,37.3862414,-5.9105762
Dia,way/184958434,Dia,Dia,,supermarket,,,,,,,,,Mo-Sa 09:00-22:00; Su 09:30-14:30,,38.0903209,-0.6602787
Dia,way/184964957,Dia Market,Dia Market,,supermarket,Avenida de la Hispanidad 14,Avenida de la Hispanidad,14,,,,,,,,40.2924584,-3.7861395
Dia,way/185788143,Dia,Dia,,supermarket,,,,,,,,,Mo-Su 09:00-21:30,yes,36.285796,-6.0925211
Dia,way/186256106,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,Mo-Sa 09:00-21:30,yes,36.0266292,-5.6111163
Dia,way/191248814,Dia,Dia,,supermarket,,,,,,,,,,,37.3840767,-5.9029453
Dia,way/191504662,Dia,Dia,,supermarket,,,,,,,,,,,36.7512479,-5.1582742
Dia,way/193353894,Dia,Dia,,supermarket,,,,,,,,,Mo-Sa 09:00-21:30,yes,36.811197,-2.5982554
Dia,way/194515291,Cash Diaz Cadenas,Dia,,supermarket,,,,,,,,,,,37.3970825,-4.7628917
Dia,way/194811292,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,37.7852586,-3.776789
Dia,way/194938543,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,38.0885314,-0.7291657
Dia,way/194947434,Maxi Dia,Maxi Dia,,supermarket,,,,,Rota,,,,Mo-Sa 09:00-21:30,,36.6301455,-6.365696
Dia,way/196386746,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,41.4952052,2.1553872
Dia,way/199197431,Dia,Maxi Dia,,supermarket,,,,,,,,,,,37.4105358,-5.9334977
Dia,way/199786643,Dia,Dia,,supermarket,,,,,,,,,,,40.2828412,-3.8088406
Dia,way/203182791,Dia,Dia,,supermarket,,,,,,,,,,,36.7514475,-5.1551891
Dia,way/203689264,Dia,Dia,,supermarket,,,,,,,,,,,40.3477908,-1.1168073
Dia,way/204099924,Dia,Dia,,supermarket,,,,,,,,,Mo-Sa 09:00-21:30,yes,37.3866015,-6.1968352
Dia,way/204526268,Dia,Dia,,supermarket,,,,,,,,,,yes,37.3806681,-6.1371868
Dia,way/206313482,Dia,Dia,,supermarket,,,,,,,,,,,42.8391605,-2.6618923
Dia,way/212371024,Dia,Dia,,supermarket,,,,,,,,,Mo-Sa 09:00-21:00,,38.2451602,-6.0147268
Dia,way/215294462,Maxi Dia,Maxi Dia,,supermarket,Carrer Matagalls,Carrer Matagalls,,,,,,,Mo-Sa 09:15-21:15; Su 09:00-19:00,,41.7469237,1.860723
Dia,way/217462134,Dia,Dia,,supermarket,,,,,,,,,,,40.2834268,-3.7848139
Dia,way/217896687,Dia,Dia,,supermarket,,,,,,,,,,,41.890705,2.8781602
Dia,way/220313240,Dialprix,Dia,,supermarket,,,,,,,,,,,38.6066347,-0.0802303
Dia,way/220535227,Dia,Dia,,supermarket,,,,,,,,,,,42.8700314,-8.573745
Dia,way/222090309,Dialprix,Dia,,supermarket,,,,,,,,,,,38.0388944,-0.7439676
Dia,way/223845777,Dia,Dia,,supermarket,Travesía de San Ignacio,Travesía de San Ignacio,,,,,,,,,37.32474,-5.4129669
Dia,way/225188989,Dia,Dia,,supermarket,,,,,,,,,,,40.4398079,-4.0044379
Dia,way/225686817,Dia,Dia,,supermarket,,,,,,,,,,,36.6603501,-4.549403
Dia,way/225751916,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,37.6059545,-0.9746307
Dia,way/225918510,Dia,Dia,,supermarket,,,,,,,,,,,40.6523126,-3.7714085
Dia,way/230896657,Dia,Dia,,supermarket,,,,,,,,,,,37.2819229,-3.8802495
Dia,way/232213265,Dia,Dia,,supermarket,Avenida María Zambrano s/n,Avenida María Zambrano,s/n,29006,,,,,,,36.7115251,-4.4674959
Dia,way/234549288,Dia,Dia,,supermarket,,,,,,,,,,,39.2775028,-0.5720463
Dia,way/235217702,Dia,Dia,,supermarket,,,,,,,,,,,37.3046439,-3.1444823
Dia,way/236711189,Dia,Dia,,supermarket,,,,,,,,,,,37.0221283,-4.5493166
Dia,way/236866389,Dia Market,Dia Market,,supermarket,,,,,,,,,,,40.4725401,-3.7115959
Dia,way/237200771,Dia,Dia,,supermarket,Carrer Mèxic,Carrer Mèxic,,08740,Sant Andreu de la Barca,,,,,,41.4432829,1.9806309
Dia,way/237949243,Dia,Dia,,supermarket,,,,,,,,,,,42.48341,-8.8629529
Dia,way/242745986,Alcampo,Maxi Dia,,supermarket,,,,,,,,,,,42.2636289,-8.7647255
Dia,way/244545489,Dia,Dia,,supermarket,,,,,,,,,,,39.0627145,-3.618143
Dia,way/244815557,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,37.7751784,-3.89734
Dia,node/248050670,La Plaza de DIA,La Plaza de DIA,,supermarket,,,,28224,,,,,,yes,40.4343031,-3.8062873
Dia,way/249403188,Dia,Dia,,supermarket,Carrer de la Diputació 146,Carrer de la Diputació,146,,Barcelona,,,,Mo-Sa 09:00-21:00,yes,41.382697,2.1573278
Dia,way/251150926,Dia,Dia,,supermarket,,,,,,,,,,,43.3130476,-5.696029
Dia,way/251212693,Dia Market,Dia Market,,supermarket,,,,,,,,,,,43.1644979,-5.8292084
Dia,way/251273361,Dia,Dia,,supermarket,,,,,,,,,,,43.2924393,-7.6792556
Dia,way/251322235,Dia,Dia,,supermarket,,,,,,,,,,,37.4532713,-3.9302849
Dia,node/255259371,La Plaza de DIA,La Plaza de DIA,,supermarket,,,,,,,,,,,40.4447687,-3.6341303
Dia,node/259249641,Dia,Dia,,supermarket,,,,,,,,,,,42.3390294,-1.8042753
Dia,way/260880535,Dia,Dia,,supermarket,,,,,,,,,,,36.9851452,-5.9353589
Dia,way/261769397,Dia,Dia,,supermarket,,,,,,,,,,,39.8834157,-4.9732739
Dia,node/262612557,Dia,Dia,,supermarket,,,,,,,,,,yes,40.5044401,-3.6768216
Dia,way/262669790,Dia,Dia,,supermarket,,,,,,,,https://www.dia.es,,yes,40.4751871,-3.3930738
Dia,way/264341173,La Plaza de DIA,La Plaza de DIA,,supermarket,,,,,,,,,,,40.4864786,-3.6513093
Dia,way/264354211,Maxi Dia,Maxi Dia,,supermarket,Avenida de Irlanda,Avenida de Irlanda,,45005,Toledo,+34925280813,,,,,39.881722,-4.0327589
Dia,way/265667589,Dia,Dia,,supermarket,Calle de Ramón Gómez de la Serna 4,Calle de Ramón Gómez de la Serna,4,,,,,,Mo-Su 08:30-21:00,,40.4811638,-3.7232098
Dia,way/266118319,Dia,Dia,,supermarket,,,,,,,,,,,43.2306748,-5.7799683
Dia,node/266822557,La Plaza de DIA,La Plaza de DIA,,supermarket,,,,,,,,,,,40.413668,-3.8981409
Dia,way/268068099,Dia,Dia,,supermarket,,,,,,,,,,,36.469164,-6.189778
Dia,way/268068100,Dia,Dia,,supermarket,,,,,,,,,,,36.4726851,-6.1929147
Dia,way/271909173,Dia,Dia,,supermarket,,,,,,,,,,,40.3140497,-3.8722594
Dia,way/273210201,Dia,Dia,,supermarket,,,,,,,,,,,38.9701856,-5.8024186
Dia,node/274239329,Dia,Dia,,supermarket,,,,28660,Boadilla del Monte,,,,,,40.3998038,-3.8973887
Dia,way/274571042,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,Mo-Sa 09:00-21:30,,37.3398368,-5.9382061
Dia,way/276861969,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,39.0017073,-3.9284105
Dia,way/279637636,Dia,Dia,,supermarket,,,,,,,,,Mo-Sa 09:00-21:30; Su 10:00-14:30,,40.7424257,-4.0532417
Dia,node/280708983,Dia,Dia,,supermarket,,,,,,,,,,,43.4082183,-8.174375
Dia,way/282708338,La Plaza de DIA,La Plaza de DIA,,supermarket,,,,,,,,,,,40.3200013,-3.8734582
Dia,way/283080091,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,36.154446,-5.4540153
Dia,way/284553385,Dia,Dia,,supermarket,,,,,,,,,,,40.0056495,3.8540416
Dia,way/284771968,Dia,Dia,,supermarket,,,,,,,,https://www.dia.es,Mo-Sa 09:00-21:30,,36.1346587,-5.8441737
Dia,way/285267586,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,Mo-Sa 09:00-21:00,,43.3403453,-4.0504214
Dia,way/286054452,Maxi Dia,Maxi Dia,,supermarket,,,,15920,Rianxo,,,https://www.dia.es,,yes,42.6646862,-8.8085024
Dia,way/286605555,Dia,Dia,,supermarket,,,,,,,,,,,38.636078,-0.8711873
Dia,node/287324152,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,40.5946961,-4.1290064
Dia,way/288079222,Dia,Dia,,supermarket,,,,,,,,,"Mo-Sa 09:30-15:00,17:00-21:00; Su 10:00-14:00",,43.246217,-8.5733054
Dia,node/288573038,Dia,Dia,,supermarket,,,,,,,,,Mo-Sa 09:00-21:00,yes,41.6349759,-0.8774764
Dia,way/290409611,Maxi Dia,Maxi Dia,,supermarket,,,,,Torremolinos,,,,,yes,36.6057728,-4.5171306
Dia,way/291545271,Maxi Dia,Maxi Dia,,supermarket,Carretera de Úbeda a Sabiote 1,Carretera de Úbeda a Sabiote,1,23400,Úbeda,,,,,,38.0228624,-3.3674872
Dia,node/291564913,DIA,Dia,,supermarket,Carrer Cervantes 21,Carrer Cervantes,21,03550,,+34 912170453,,https://www.dia.es/,Mo-Sa 09:00-21:30,,38.4047933,-0.4394874
Dia,way/292491946,Dia,Dia,,supermarket,,,,,,,,,,yes,41.145319,1.4080568
Dia,way/293663123,Dia,Dia,Maxi,supermarket,Rúa Castelao,Rúa Castelao,,36995,O Casal,+34 696 712914,,,,,42.4406181,-8.6786187
Dia,way/294880305,Dia,Dia,,supermarket,Avenida Don Juan de Borbón y Battemberg,Avenida Don Juan de Borbón y Battemberg,,40004,Segovia,,,,Mo-Sa 09:00-21:30,,40.9415777,-4.1059004
Dia,way/295002648,La Plaza de DIA,La Plaza de DIA,,supermarket,,,,,,,,,,,40.4827812,-3.6943912
Dia,way/295492340,Dia,Dia,,supermarket,,,,,,,,,,,36.6903275,-6.1122624
Dia,way/296610386,Dia,Dia,,supermarket,,,,,Sanlúcar de Barrameda,,,,,,36.7731015,-6.3461451
Dia,way/296678082,Dialprix,Dia,,supermarket,,,,,,,,,,,38.3645362,-0.4943704
Dia,way/297465415,Dia,Dia,,supermarket,,,,,,,,,,,40.2300591,-3.7774212
Dia,way/299368431,Aldi,Dia,,supermarket,,,,43580,,,,,,,40.7231843,0.7232019
Dia,way/299642266,Dia,Dia,,supermarket,Avenida Presidente Juan Carlos Rodríguez Ibarra s/n,Avenida Presidente Juan Carlos Rodríguez Ibarra,s/n,06200,Almendralejo,,,https://www.dia.es,,,38.6902978,-6.405226
Dia,way/299699302,Dia,Dia,,supermarket,,,,,Bailén,,,,,,38.0921493,-3.7709325
Dia,way/299749854,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,40.5409831,-3.6515561
Dia,way/300328685,Dia Market,Dia Market,,supermarket,Carretera de Tembleque s/n,Carretera de Tembleque,s/n,45860,Villacañas,,,,Mo-Sa 09:00-21:30,,39.6171259,-3.3480086
Dia,way/300809144,Maxi Dia,Maxi Dia,,supermarket,"Carretera de Sevilla, s/n","Carretera de Sevilla, s/n",,06200,Almendralejo,,,https://www.dia.es/,,yes,38.698426,-6.4026417
Dia,way/301871401,Dia,Dia,,supermarket,,,,,,,,https://www.dia.es,,,36.5929508,-6.2233581
Dia,way/302393476,Dia,Dia,,supermarket,,,,06200,Almendralejo,,,https://www.dia.es,,,38.6827954,-6.4039482
Dia,way/302647552,Dia,Dia,,supermarket,,,,45300,Ocaña,,,https://www.dia.es,,yes,39.9546825,-3.5036439
Dia,node/303618661,Mercadona,Maxi Dia,,supermarket,,,,,,,,,Mo-Sa 09:00-21:30; Su off,yes,37.3895142,-5.973939
Dia,node/304765696,Maxi Dia,Maxi Dia,,supermarket,,,,,,,,,,,40.6029811,-4.1286869
Dia,way/304959221,Dia,Dia,,supermarket,Carrer Ramón y Cajal 58,Carrer Ramón y Cajal,58,43530,,,,https://www.dia.es,,,40.5404178,0.4810854
Dia,way/305492418,Maxi Dia,Maxi Dia,,supermarket,Avenida Juan Carlos I 24,Avenida Juan Carlos I,24,28400,Collado Villalba,,,,,,40.633728,-4.0050966
Dia,way/305830995,Dia,Dia,,supermarket,,,,28450,Collado Mediano,,,,,,40.6878742,-4.0175251
Dia,node/306095243,Dia,Dia,,supermarket,,,,,,,,,,,40.3991563,-3.7081825
Dia,way/307191744,Dia,Dia,,supermarket,Avenida Cantabria 58,Avenida Cantabria,58,39400,Los Corrales de Buelna,,,,Mo-Sa 09:00-21:00,,43.2629265,-4.0713017
Dia,way/308626987,Dia,Dia,,supermarket,Estrada de San Roque,Estrada de San Roque,,36780,,,,,Mo-Sa 09:00-21:00,,41.9111181,-8.8516126
Dia,way/308785034,Maxi Dia,Maxi Dia,,supermarket,Rúa Pateira 26,Rúa Pateira,26,36214,,,,https://www.dia.es/,Mo-Sa 09:30-21:30,,42.2263336,-8.6993707
Dia,way/308896181,Dia,Dia,,supermarket,,,,,,,,,,,41.5111419,2.381673
Dia,way/309228241,Dia,Dia,,supermarket,,,,,,,,,,,37.3903598,-3.519821
Dia,node/312552893,Dialprix,Dialprix,,supermarket,,,,,,,,,,,28.0653427,-16.7305036
Dia,way/313501548,Dia,Dia,,supermarket,Calle la Dehesa 1,Calle la Dehesa,1,09670,Quintanar de la Sierra,,,,Mo-Sa 09:00-21:00,,41.9714819,-3.0387468
Dia,way/315098275,Dia,Dia,,supermarket,,,,,,,,,,,40.4248656,-3.6401238
Dia,node/315343649,Dia,Dia,,supermarket,Avenida Rey Juan Carlos I 10,Avenida Rey Juan Carlos I,10,28220,Majadahonda,+34 912 17 04 53,,https://www.dia.es/,Mo-Sa 08:30-21:30; Su 09:00-21:00,yes,40.4605988,-3.8660486
Dia,way/316964533,Dia,Dia,,supermarket,,,,,,,,,,,42.7963092,-4.8471482
