osm_id,nome,marca,filial,tipo_comercio,amenidade,morada_completa,rua,numero_porta,codigo_postal,cidade,suburbio,estado,pais,telefone,email,website,horario,entrega,auto_checkout,estacionamento,acessibilidade_cadeira_rodas,latitude,longitude
node/4638169390,Mercadona,Mercadona,,supermarket,,Paseo Laguna de Cameros 1,Paseo Laguna de Cameros,1,18008,,,,,+34 958541303,,https://www.mercadona.es,Mo-Sa 10:00-22:00,,,,,37.1571106,-3.5832349
node/4638169589,Mercadona,Mercadona,,supermarket,,Calle Mallorca 13-15,Calle Mallorca,13-15,18100,,,,,+34 958 55 30 92,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,37.1405354,-3.6212946
node/4638522949,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,41.4351011,2.1813542
node/4640132547,Mercadona,Mercadona,,supermarket,,Calle de Castilla 71,Calle de Castilla,71,,,,,,,,https://www.mercadona.es,Mo-Su 09:00-21:30,,,,,43.4543025,-3.8211613
node/4641619092,Mercadona,Mercadona,,supermarket,,Calle de Monsalve 2,Calle de Monsalve,2,49008,Zamora,,,,+34 980 51 33 37,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,41.5117419,-5.7414176
node/4656063226,Mercadona,Mercadona,,supermarket,,Avenida de España 73,Avenida de España,73,37500,Ciudad Rodrigo,,,,,,https://www.mercadona.es,Mo-Sa 09:00-22:00,,,,,40.6042498,-6.532511
node/4657125592,Mercadona,Mercadona,,supermarket,,Avenida de España 73,Avenida de España,73,37500,,,,,,,https://www.mercadona.es,,,,,,40.6041654,-6.5319052
node/4663245592,Mercadona,Mercadona,,supermarket,,Calle Antonio Machado 67,Calle Antonio Machado,67,16400,,,,,+34 969325883,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,40.013468,-3.0132983
node/4679983191,Mercadona,Mercadona,,supermarket,,Avinguda del Primat Reig,Avinguda del Primat Reig,,,,,,,34963690630,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,39.4821412,-0.3608682
node/4687187698,Mercadona,Mercadona,,supermarket,,,,,38410,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,28.387646,-16.584903
node/4691189000,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,41.5762934,2.0343661
node/4698177991,Mercadona,Mercadona,,supermarket,,Avenida Doctor Marañón,Avenida Doctor Marañón,,29009,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,36.729555,-4.4282198
node/4722941707,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,42.6861626,-2.9491431
node/4724829027,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,42.6859388,-2.9489027
node/4738740560,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,41.3592102,2.0769209
node/4741418422,Mercadona,Mercadona,,supermarket,,Carrer del Mestre Gozalbo 5,Carrer del Mestre Gozalbo,5,46005,València,,,,34963955087,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,yes,39.4658173,-0.3695529
node/4760172024,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,39.5451226,-0.3947046
node/4769368121,Mercadona,Mercadona,,supermarket,,Carrer de Mallorca 135,Carrer de Mallorca,135,8036,Barcelona,,,,34938845213,,https://www.mercadona.es,Mo-Sa 09:00-21:00,,,,,41.3881292,2.1542336
node/4777196739,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,38.243366,-1.4222111
node/4786517287,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,41.6563025,-0.9373813
node/4789607022,Mercadona,Mercadona,,supermarket,,Carrer de Nàpols 110,Carrer de Nàpols,110,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,41.3951944,2.1798302
node/4805637194,Mercadona,Mercadona,,supermarket,,Avenida de La Jarea s/n,Avenida de La Jarea,s/n,50630,Alagon,,,,34976873045,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,41.7649495,-1.1252529
node/4842537201,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,38.2987748,-5.2682446
node/4844092251,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,37.3123385,-5.8602342
node/4844645652,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,yes,41.649664,-0.9166471
node/4862245694,Mercadona,Mercadona,,supermarket,,Calle de Asura 56,Calle de Asura,56,28043,Madrid,,,,,,,Mo-Sa 09:00-21:30,,,,yes,40.4549447,-3.6520471
node/4907611922,Mercadona,Mercadona,,supermarket,,Carrer de la Primavera 83,Carrer de la Primavera,83,8905,,,,,+34 938873816,,https://www.mercadona.es,Mo-Sa 09:00-21:15,,,,,41.370484,2.1084884
node/4935471090,Mercadona,Mercadona,,supermarket,,Carretera Bilbao-Galdakao 8,Carretera Bilbao-Galdakao,8,,,,,,+34 944 98 37 63,,https://www.mercadona.es,Mo-Sa 09:15-21:15,,,,,43.2476707,-2.9075421
node/4947459370,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,37.5782178,-6.7522401
node/4949887505,Mercadona,Mercadona,,supermarket,,Calle de Carlos Martín Álvarez 45,Calle de Carlos Martín Álvarez,45,28018,Madrid,,,,+34 917 16 56 69,,https://www.mercadona.es,,,,,,40.3875762,-3.6646475
node/4955215421,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,yes,40.4417797,-3.8445748
node/4966103968,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,28.3690167,-16.7216852
node/4977837226,Mercadona,Mercadona,,supermarket,,C/Joan Fuster 7,C/Joan Fuster,7,46780,Oliva,,,,34962855330,,https://www.mercadona.es,,,,,yes,38.9248081,-0.1229828
node/4983373468,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,37.3972674,-5.7126393
node/4985158900,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:00,,,,,41.5383844,2.099209
node/4987459780,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,41.3419182,1.6929268
node/4992839021,Mercadona,Mercadona,,supermarket,,Simon de Anda kalea 19,Simon de Anda kalea,19,1012,Vitoria-Gasteiz,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:00,,,,,42.855156,-2.6743907
node/5000106758,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:00,,,,,41.3346698,1.7007985
node/5007607525,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,yes,37.3905812,-5.979949
node/5043419186,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,42.465257,-2.4340901
node/5058728801,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,yes,41.4209303,2.1830247
node/5064369890,Mercadona,Mercadona,,supermarket,,Calle Alfonso Argüelles 2,Calle Alfonso Argüelles,2,33930,,,,,+34 985 69 80 53,,https://www.mercadona.es,Mo-Sa 09:00-21:30; Su off; PH off,,,,yes,43.3102548,-5.6892966
node/5076652947,Mercadona,Mercadona,,supermarket,,,,,,Córdoba,,,,,,https://www.mercadona.es,,,,,,37.8645506,-4.78272
node/5080019665,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,41.942429,-7.4338244
node/5097170234,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,36.431456,-5.1469338
node/5107488843,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,36.3646737,-5.2292171
node/5116694522,Mercadona,Mercadona,,supermarket,,Calle Atariandia 2,Calle Atariandia,2,31008,,,,,+34 948592600,,https://www.mercadona.es,,,,,yes,42.8099033,-1.6545227
node/5119987965,Mercadona,Mercadona,,supermarket,,,,,11300,La Línea de la Concepción,,,,,,https://www.mercadona.es,,,,,yes,36.1658703,-5.35742
node/5123325054,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,37.1903659,-3.6110116
node/5125499106,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,39.3668667,-0.4114131
node/5144572425,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,38.8684778,-1.0928457
node/5170178961,Mercadona,Mercadona,,supermarket,,Calle de Guatemala 13,Calle de Guatemala,13,28016,Madrid,,,,+34 913184261,,https://www.mercadona.es,Mo-Sa 09:00-21:30; Su off,,,,,40.4595111,-3.6724848
node/5174731588,Mercadona,Mercadona,,supermarket,,"Travesía del Pinzón 7,9,11",Travesía del Pinzón,"7,9,11",,,,,,,,https://www.mercadona.es,,,,,,40.3917586,-3.7414048
node/5176209525,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,39.4633336,-0.3541321
node/5217988170,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,41.4628728,2.1707056
node/5241882384,Mercadona,Mercadona,,supermarket,,Calle Jorge Manrique 1,Calle Jorge Manrique,1,30011,Murcia,,,,+34 968 26 94 40,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,yes,yes,37.9811284,-1.1170546
node/5247270621,Mercadona,Mercadona,,supermarket,,Avenida de los Pirineos 23,Avenida de los Pirineos,23,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,42.0381059,0.1304362
node/5259787934,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,40.3071851,-3.727096
node/5261803509,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30; Su off,,,,,37.7231741,-3.9711615
node/5270502717,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,37.3855691,-6.0475562
node/5278603020,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,40.0366372,-6.0913557
node/5283580425,Mercadona,Mercadona,,supermarket,,,,,,,,,,34917164744,,,,,,,,40.4927318,-3.6089377
node/5302650721,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,40.9607231,-5.6529822
node/5316164635,Mercadona,Mercadona,,supermarket,,Carretera de Collblanc 90,Carretera de Collblanc,90,8028,Barcelona,,,,+34 938 84 47 09,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,41.3759162,2.1156663
node/5343006451,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,37.9761338,-1.1262862
node/5343011304,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,37.9756412,-1.1259743
node/5351613429,Mercadona,Mercadona,,supermarket,,Calle del Cardenal Belluga 10,Calle del Cardenal Belluga,10,28028,Madrid,,,,34917577560,,,Mo-Sa 09:00-21:30,,,,,40.4306624,-3.6652052
node/5360485834,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,37.9843203,-1.1322455
node/5375551949,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,42.4279064,-8.6300445
node/5381672952,Mercadona,Mercadona,,supermarket,,Avenida Andalucía,Avenida Andalucía,,,Estepona,,,,,,,,,,,,36.4285807,-5.1406899
node/5398548821,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,37.3859586,-6.5561063
node/5398789892,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,40.3841965,-3.7290929
node/5405804122,Mercadona,Mercadona,,supermarket,,Calle República Dominicana,Calle República Dominicana,,35010,,,,,+34 928 22 62 88;+34 800 500 220,sugerencias@mercadona.es,https://www.mercadona.es,Mo-Sa 09:00-22:00,,,,,28.1327046,-15.4391643
node/5414591623,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,36.5470073,-4.6296221
node/5448091730,Mercadona,Mercadona,,supermarket,,Carrer Baró 32-34,Carrer Baró,32-34,8921,Santa Coloma de Gramenet,,,,+34 683445733,,,,,,,,41.4525524,2.2021061
node/5456485021,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,yes,39.5735896,2.6532325
node/5467611782,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,Mo-Sa 09:00-21:30,,,,yes,37.2721513,-6.9283036
node/5469363656,Mercadona,Mercadona,,supermarket,,Calle Salado 2,Calle Salado,2,41010,Sevilla,,,,+34 954 78 36 17,,,Mo-Sa 09:00-21:30,,,,,37.3798531,-5.999686
node/5480658922,Mercadona,Mercadona,,supermarket,,Avenida San Severiano,Avenida San Severiano,,,,,,,,,,Mo-Sa 09:00-21:30,,,,,36.5199073,-6.2782017
node/5511103405,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,38.6879402,-7.0936247
node/5533947949,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,37.2601118,-6.5159098
node/5544986197,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,yes,42.2310201,-8.7145027
node/5560352388,Mercadona,Mercadona,,supermarket,,,,,,Bilbao,,,,,,,,,,,,43.2623747,-2.9473621
node/5567749479,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,37.1965343,-7.3183511
node/5583551910,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,39.9688633,-4.827282
node/5599908721,Mercadona,Mercadona,,supermarket,,,,,,,,,,34935888251,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,41.4950224,2.036116
node/5630345935,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,43.0105147,-7.5659631
node/5715494365,Mercadona,Mercadona,,supermarket,,Calle Gustavo Pittaluga 8,Calle Gustavo Pittaluga,8,29010,,,,,,,https://www.mercadona.es,,,,,,36.7157293,-4.4653351
node/5737565612,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,38.9746188,-5.7935144
node/5746690965,Mercadona,Mercadona,,supermarket,,Calle Camino de Mirabueno 3,Calle Camino de Mirabueno,3,9002,Burgos,,,,+34 947 26 66 70,,https://mercadona.es,"Mo-Sa 09:00-21:30; Tu,Su off",,,,yes,42.3345087,-3.696915
node/5747881171,Mercadona,Mercadona,,supermarket,,Calle Don Bernardino Correa Viera 8,Calle Don Bernardino Correa Viera,8,35002,,,,,34800500220,sugerencias@mercadona.es,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,28.1008938,-15.4192225
node/5810707517,Mercadona,Mercadona,,supermarket,,Calle del Monasterio de Poblet 10,Calle del Monasterio de Poblet,10,,,,,,,,,,,,,yes,41.6436595,-0.8709917
node/5849496262,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,41.5476243,2.0259697
node/5853742071,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,41.5607722,2.0826031
node/5863363297,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,Mo-Fr 09:00-21:30,,,,,39.4843516,-0.3839533
node/5873214180,Mercadona,Mercadona,,supermarket,,Calle de José Vasconcelos 4,Calle de José Vasconcelos,4,28046,Madrid,,,,,,,Mo-Sa 09:00-21:30,,,,,40.470963,-3.686612
node/5978020452,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:15-21:15,,,,,39.9901119,-0.0260938
node/5984262612,Mercadona,Mercadona,,supermarket,,Calle Eduardo Marquina 10,Calle Eduardo Marquina,10,29002,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,36.7037195,-4.4385122
node/5989884798,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,yes,41.3207523,2.0110188
node/6015809283,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,41.7622085,-0.8317152
node/6018185921,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,39.8848724,4.2637005
node/6056018583,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,41.9397194,2.2545694
node/6063366267,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,Mo-Sa 09:15-21:15,,,,,39.9888775,-0.0442114
node/6071055307,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,28.156241,-15.4170926
node/6087860955,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,Mo-Sa 09:00-21:30,,,,,36.737632,-4.3805768
node/6097047661,Mercadona,Mercadona,,supermarket,,Carrer de Sardenya 229,Carrer de Sardenya,229,8013,Barcelona,,,,+34 936343429,,https://www.mercadona.es,Mo-Sa 09:00-21:00; PH off,,,,yes,41.4003675,2.1770146
node/6128395349,Mercadona,Mercadona,,supermarket,,Carrer del Plà,Carrer del Plà,,8980,Sant Feliu de Llobregat,,,,,,,,,,,,41.375916,2.0418016
node/6140229549,Mercadona,Mercadona,,supermarket,,Calle Darwin,Calle Darwin,,18100,Armilla,,,,+34 958 86 63 01,,https://www.mercadona.es/,Mo-Sa 10:00-22:00,,,,,37.1458351,-3.6152692
node/6170070835,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,41.4320025,2.1717832
node/6214543931,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,38.4343814,-0.8392672
node/6222474787,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,39.2036835,-2.1570237
node/6223514526,Mercadona,Mercadona,,supermarket,,Avenida de las Naciones 25,Avenida de las Naciones,25,45200,Illescas,,,,34925194219,,https://www.mercadona.es/,Mo-Sa 09:00-21:30,,,,,40.1498829,-3.825019
node/6301625500,Mercadona,Mercadona,,supermarket,,Calle Don Fadrique 63,Calle Don Fadrique,63,,,,,,+34 954908175,,https://www.mercadona.es,,,,,,37.4065108,-5.9897152
node/6304468072,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,37.1491371,-3.6728784
node/6311727826,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,36.5075067,-4.9506306
node/6318095964,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,39.4894582,-0.3598548
node/6333471518,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,36.8620542,-2.432866
node/6341254285,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,38.3981461,-0.4142098
node/6355741759,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,37.2296158,-3.6540026
node/6355782716,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,37.9844339,-1.1320073
node/6356558652,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,Mo-Sa 09:00-21:30,,,,,28.1177234,-16.5767252
node/6429351132,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,28.1132579,-15.4494701
node/6439189880,Mercadona,Mercadona,,supermarket,,Gran Via de les Corts Catalanes 191,Gran Via de les Corts Catalanes,191,8014,Barcelona,,,,34938256342,,https://www.mercadona.es/,Mo-Sa 09:00-21:30,,,,yes,41.3682545,2.1396644
node/6445318707,Mercadona,Mercadona,,supermarket,,Avinguda de l'Equador 4,Avinguda de l'Equador,4,46025,València,,,,,,,,,,,,39.4930174,-0.3872426
node/6468326586,Mercadona,Mercadona,,supermarket,,Carrer de José Aguilar,Carrer de José Aguilar,,46022,València,,,,+34 963309941,,https://www.mercadona.es,09:00-21:30,,,,,39.4647971,-0.340235
node/6477536892,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,42.4280702,-8.6293923
node/6513079079,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,41.8943879,-1.722583
node/6520546739,Mercadona,Mercadona,,supermarket,,Avinguda del Cardenal Benlloch 91,Avinguda del Cardenal Benlloch,91,46021,València,,,,,,,Mo-Sa 09:00-21:30,,,,,39.4735682,-0.3535618
node/6539414970,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,36.4935921,-4.9900047
node/6582866737,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,yes,41.962676,2.8116343
node/6625118553,Mercadona,Mercadona,,supermarket,,C/ PROFESOR BELTRÁN BÁGUENA,C/ PROFESOR BELTRÁN BÁGUENA,,46009,València,,,,,,,,,,,,39.4816864,-0.3903765
node/6626989887,Mercadona,Mercadona,,supermarket,,Avenida de Puerto Rico,Avenida de Puerto Rico,,50180,,,,,,,,Mo-Sa 09:00-21:30,,,,,41.7028811,-0.9962393
